_id,rt,trial_type,trial_index,time_elapsed,internal_node_id,subject,study_id,session_id,__v,response,block,theword
ROW35021,2380,instructions,0,2381,0,P1670,STUDY0008,SESS1292,0,,,
ROW35022,975,html-button-response,1,3357,0,P1670,STUDY0008,SESS1292,0,0,precautions_survey,
ROW35023,5247,html-button-response,2,8605,0,P1670,STUDY0008,SESS1292,0,0,vocabulary_classification_criteria,
ROW35024,4503,html-button-response,3,13108,0,P1670,STUDY0008,SESS1292,0,0,lavender_instruction,
ROW35025,1976,html-button-response,4,15085,0,P1670,STUDY0008,SESS1292,0,0,category_section_intro,
ROW35026,8134,survey-multi-select,5,23221,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,ambulance
ROW35027,4711,survey-multi-select,6,27933,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""material""]}",category_organization_semblocked,digger
ROW35028,2695,html-button-response,7,30629,0,P1670,STUDY0008,SESS1292,0,0,category_section_intro,
ROW35029,2927,survey-multi-select,8,33557,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,marker
ROW35030,2798,survey-multi-select,9,36356,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,robot
ROW35031,2991,survey-multi-select,12,44572,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""shape""]}",category_organization_semblocked,fly (animal)
ROW35032,1559,html-button-response,10,37916,0,P1670,STUDY0008,SESS1292,0,0,category_section_intro,
ROW35033,3664,survey-multi-select,11,41581,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,clam
ROW35034,2992,survey-multi-select,13,47565,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""shape"",""color"",""material""]}",category_organization_semblocked,panda
ROW35035,1336,html-button-response,14,48901,0,P1670,STUDY0008,SESS1292,0,0,category_section_intro,
ROW35036,2120,survey-multi-select,16,55949,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,headband
ROW35037,4927,survey-multi-select,15,53828,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""shape"",""color"",""material""]}",category_organization_semblocked,hat
ROW35038,1223,html-button-response,17,57173,0,P1670,STUDY0008,SESS1292,0,0,category_section_intro,
ROW35039,2615,survey-multi-select,18,59789,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""color"",""material""]}",category_organization_semblocked,tablecloth
ROW35040,2239,survey-multi-select,20,63493,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""shape""]}",category_organization_semblocked,chickpea
ROW35041,1464,html-button-response,19,61253,0,P1670,STUDY0008,SESS1292,0,0,category_section_intro,
ROW35042,2159,survey-multi-select,21,65653,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""color""]}",category_organization_semblocked,liver (food)
ROW35043,2711,survey-multi-select,22,68365,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""color"",""material""]}",category_organization_semblocked,rice
ROW35044,2447,survey-multi-select,23,70813,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,strawberry
ROW35045,7695,html-button-response,24,78509,0,P1670,STUDY0008,SESS1292,0,0,category_section_intro,
ROW35046,2495,survey-multi-select,25,81005,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""shape""]}",category_organization_semblocked,body
ROW35047,1104,html-button-response,26,82109,0,P1670,STUDY0008,SESS1292,0,0,category_section_intro,
ROW35048,3679,survey-multi-select,27,85789,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,cell phone
ROW35049,3727,survey-multi-select,28,89517,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,glass
ROW35050,1295,html-button-response,29,90813,0,P1670,STUDY0008,SESS1292,0,0,category_section_intro,
ROW35051,4120,survey-multi-select,30,94933,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""none of these""]}",category_organization_semblocked,rain
ROW35052,3799,survey-multi-select,31,98733,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""shape""]}",category_organization_semblocked,umbrella
ROW35053,1631,html-button-response,32,100364,0,P1670,STUDY0008,SESS1292,0,0,category_section_intro,
ROW35054,3527,survey-multi-select,33,103892,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""material""]}",category_organization_semblocked,basement
ROW35055,1688,survey-multi-select,34,105581,0,P1670,STUDY0008,SESS1292,0,"{""Q0"":[""none of these""]}",category_organization_semblocked,lavender
ROW35056,808,html-button-response,35,106389,0,P1670,STUDY0008,SESS1292,0,0,,
ROW35057,2000,instructions,36,108389,0,P1670,STUDY0008,SESS1292,0,,,
ROW35058,2414,instructions,0,2417,0,P0403,STUDY0008,SESS1301,0,,,
ROW35059,2831,html-button-response,1,5251,0,P0403,STUDY0008,SESS1301,0,0,precautions_survey,
ROW35060,3621,html-button-response,2,8873,0,P0403,STUDY0008,SESS1301,0,0,vocabulary_classification_criteria,
ROW35061,3544,html-button-response,3,12418,0,P0403,STUDY0008,SESS1301,0,0,lavender_instruction,
ROW35062,1301,html-button-response,4,13721,0,P0403,STUDY0008,SESS1301,0,0,category_section_intro,
ROW35063,8766,survey-multi-select,5,22491,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""none of these""]}",category_organization_semblocked,drum (object)
ROW35064,3665,survey-multi-select,7,27466,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""shape""]}",category_organization_semblocked,butterfly
ROW35065,2368,survey-multi-select,8,29836,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""shape""]}",category_organization_semblocked,wolf
ROW35066,1304,html-button-response,6,23797,0,P0403,STUDY0008,SESS1301,0,0,category_section_intro,
ROW35067,1794,survey-multi-select,11,39061,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""material""]}",category_organization_semblocked,gloves
ROW35068,6544,survey-multi-select,10,37265,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""material""]}",category_organization_semblocked,glove
ROW35069,880,html-button-response,9,30718,0,P0403,STUDY0008,SESS1301,0,0,category_section_intro,
ROW35070,816,html-button-response,12,39878,0,P0403,STUDY0008,SESS1301,0,0,category_section_intro,
ROW35071,6479,survey-multi-select,13,46359,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,floor
ROW35072,3520,survey-multi-select,14,49882,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""material""]}",category_organization_semblocked,stove
ROW35073,840,html-button-response,15,50723,0,P0403,STUDY0008,SESS1301,0,0,category_section_intro,
ROW35074,2656,survey-multi-select,16,53381,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""color""]}",category_organization_semblocked,applesauce
ROW35075,1662,survey-multi-select,17,55045,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""shape""]}",category_organization_semblocked,biscuit
ROW35076,2703,survey-multi-select,18,57750,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,eggplant
ROW35077,2367,survey-multi-select,19,60120,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,olive
ROW35078,771,html-button-response,20,60893,0,P0403,STUDY0008,SESS1301,0,0,category_section_intro,
ROW35079,2605,survey-multi-select,21,63500,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""shape""]}",category_organization_semblocked,mouth
ROW35080,1715,survey-multi-select,22,65219,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""material""]}",category_organization_semblocked,palm
ROW35081,2500,survey-multi-select,23,67720,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""shape""]}",category_organization_semblocked,vagina
ROW35082,1467,html-button-response,24,69188,0,P0403,STUDY0008,SESS1301,0,0,category_section_intro,
ROW35083,2263,survey-multi-select,25,71453,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""material""]}",category_organization_semblocked,broom
ROW35084,2057,survey-multi-select,26,73511,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""material""]}",category_organization_semblocked,broom
ROW35085,1991,survey-multi-select,28,77931,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""shape""]}",category_organization_semblocked,lamp
ROW35086,2425,survey-multi-select,27,75938,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""shape""]}",category_organization_semblocked,camera
ROW35087,3134,survey-multi-select,29,81067,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""shape""]}",category_organization_semblocked,plate
ROW35088,787,html-button-response,30,81855,0,P0403,STUDY0008,SESS1301,0,0,category_section_intro,
ROW35089,2091,survey-multi-select,31,83948,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""color""]}",category_organization_semblocked,panther
ROW35090,2020,survey-multi-select,32,85970,0,P0403,STUDY0008,SESS1301,0,"{""Q0"":[""none of these""]}",category_organization_semblocked,lavender
ROW35091,751,html-button-response,33,86722,0,P0403,STUDY0008,SESS1301,0,0,,
ROW35092,996,instructions,34,87718,0,P0403,STUDY0008,SESS1301,0,,,
ROW35093,1896,instructions,0,1897,0,P0695,STUDY0008,SESS1296,0,,,
ROW35094,1404,html-button-response,1,3303,0,P0695,STUDY0008,SESS1296,0,0,precautions_survey,
ROW35095,4184,html-button-response,2,7489,0,P0695,STUDY0008,SESS1296,0,0,vocabulary_classification_criteria,
ROW35096,2209,html-button-response,3,9699,0,P0695,STUDY0008,SESS1296,0,0,lavender_instruction,
ROW35097,2258,html-button-response,4,11958,0,P0695,STUDY0008,SESS1296,0,0,category_section_intro,
ROW35098,5545,survey-multi-select,5,17507,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,drum
ROW35099,3306,survey-multi-select,6,20815,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,puzzle
ROW35100,2524,html-button-response,7,23340,0,P0695,STUDY0008,SESS1296,0,0,category_section_intro,
ROW35101,9723,survey-multi-select,8,33066,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,ant
ROW35102,4873,survey-multi-select,9,37942,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,parrot
ROW35103,4928,survey-multi-select,10,42872,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,sheep
ROW35104,950,html-button-response,11,43824,0,P0695,STUDY0008,SESS1296,0,0,category_section_intro,
ROW35105,3769,survey-multi-select,12,47595,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,button
ROW35106,1439,html-button-response,13,49035,0,P0695,STUDY0008,SESS1296,0,0,category_section_intro,
ROW35107,2490,survey-multi-select,14,51527,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,cupboard
ROW35108,4097,survey-multi-select,15,55626,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,stairs
ROW35109,2725,html-button-response,16,58353,0,P0695,STUDY0008,SESS1296,0,0,category_section_intro,
ROW35110,27539,survey-multi-select,17,85894,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape""]}",category_organization_semblocked,cutlet
ROW35111,4406,survey-multi-select,18,90303,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,eggplant
ROW35112,3038,survey-multi-select,19,93342,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape""]}",category_organization_semblocked,pepper
ROW35113,1975,survey-multi-select,20,95318,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""color""]}",category_organization_semblocked,pork
ROW35114,1706,survey-multi-select,21,97026,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""color""]}",category_organization_semblocked,sauce
ROW35115,2162,survey-multi-select,22,99189,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape""]}",category_organization_semblocked,smoothie
ROW35116,1636,survey-multi-select,24,103093,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""color""]}",category_organization_semblocked,cell phone
ROW35117,1603,survey-multi-select,25,104699,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape""]}",category_organization_semblocked,hanger
ROW35118,2264,html-button-response,23,101454,0,P0695,STUDY0008,SESS1296,0,0,category_section_intro,
ROW35119,6609,survey-multi-select,26,111311,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""color"",""material""]}",category_organization_semblocked,napkin
ROW35120,2755,survey-multi-select,27,114070,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,vacuum
ROW35121,1190,html-button-response,28,115261,0,P0695,STUDY0008,SESS1296,0,0,category_section_intro,
ROW35122,3448,survey-multi-select,29,118711,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape""]}",category_organization_semblocked,star
ROW35123,1859,html-button-response,30,120571,0,P0695,STUDY0008,SESS1296,0,0,category_section_intro,
ROW35124,1994,survey-multi-select,31,122567,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""shape""]}",category_organization_semblocked,party
ROW35125,2633,survey-multi-select,32,125201,0,P0695,STUDY0008,SESS1296,0,"{""Q0"":[""none of these""]}",category_organization_semblocked,lavender
ROW35126,868,html-button-response,33,126071,0,P0695,STUDY0008,SESS1296,0,0,,
ROW35127,1475,instructions,34,127546,0,P0695,STUDY0008,SESS1296,0,,,
ROW35128,2296,instructions,0,2297,0,P1837,STUDY0008,SESS1295,0,,,
ROW35129,954,html-button-response,1,3252,0,P1837,STUDY0008,SESS1295,0,0,precautions_survey,
ROW35130,4157,html-button-response,3,16775,0,P1837,STUDY0008,SESS1295,0,0,lavender_instruction,
ROW35131,9366,html-button-response,2,12618,0,P1837,STUDY0008,SESS1295,0,0,vocabulary_classification_criteria,
ROW35132,4732,survey-multi-select,5,25157,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,firetruck
ROW35133,3647,html-button-response,4,20423,0,P1837,STUDY0008,SESS1295,0,0,category_section_intro,
ROW35134,2727,html-button-response,6,27884,0,P1837,STUDY0008,SESS1295,0,0,category_section_intro,
ROW35135,5604,survey-multi-select,7,33489,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape""]}",category_organization_semblocked,cat
ROW35136,1398,html-button-response,8,34888,0,P1837,STUDY0008,SESS1295,0,0,category_section_intro,
ROW35137,4007,survey-multi-select,9,38896,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,mitten
ROW35138,900,html-button-response,10,39797,0,P1837,STUDY0008,SESS1295,0,0,category_section_intro,
ROW35139,3880,survey-multi-select,11,43678,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""material""]}",category_organization_semblocked,floor
ROW35140,7521,survey-multi-select,12,51200,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""material""]}",category_organization_semblocked,patio
ROW35141,5718,survey-multi-select,13,56919,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,room
ROW35142,1334,html-button-response,14,58253,0,P1837,STUDY0008,SESS1295,0,0,category_section_intro,
ROW35143,12008,survey-multi-select,15,70262,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""material""]}",category_organization_semblocked,compote
ROW35144,5040,survey-multi-select,16,75303,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,fish (food)
ROW35145,6710,survey-multi-select,17,82014,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""color"",""material""]}",category_organization_semblocked,guava
ROW35146,4439,survey-multi-select,18,86453,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,gum
ROW35147,3039,survey-multi-select,19,89493,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape"",""color"",""material""]}",category_organization_semblocked,jello
ROW35148,4661,survey-multi-select,20,94155,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,raisin
ROW35149,1009,html-button-response,21,95165,0,P1837,STUDY0008,SESS1295,0,0,category_section_intro,
ROW35150,4649,survey-multi-select,22,99814,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape""]}",category_organization_semblocked,buttocks
ROW35151,2402,survey-multi-select,23,102217,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape""]}",category_organization_semblocked,thumb
ROW35152,1970,survey-multi-select,24,104188,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape""]}",category_organization_semblocked,toe
ROW35153,3664,survey-multi-select,25,107853,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,tooth
ROW35154,930,html-button-response,26,108784,0,P1837,STUDY0008,SESS1295,0,0,category_section_intro,
ROW35155,2769,survey-multi-select,27,111553,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape""]}",category_organization_semblocked,keys
ROW35156,1369,html-button-response,28,112923,0,P1837,STUDY0008,SESS1295,0,0,category_section_intro,
ROW35157,8049,survey-multi-select,29,120973,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""none of these""]}",category_organization_semblocked,thunder
ROW35158,985,html-button-response,30,121958,0,P1837,STUDY0008,SESS1295,0,0,category_section_intro,
ROW35159,3406,survey-multi-select,31,125364,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,mayonnaise
ROW35160,3177,survey-multi-select,32,128542,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,rainbow
ROW35161,2882,survey-multi-select,33,131425,0,P1837,STUDY0008,SESS1295,0,"{""Q0"":[""none of these""]}",category_organization_semblocked,lavender
ROW35162,1196,html-button-response,34,132621,0,P1837,STUDY0008,SESS1295,0,0,,
ROW35163,2203,instructions,35,134825,0,P1837,STUDY0008,SESS1295,0,,,
ROW35164,7745,html-button-response,1,12393,0,P1166,STUDY0008,SESS1299,0,0,precautions_survey,
ROW35165,7808,survey-multi-select,5,47620,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape""]}",category_organization_semblocked,train
ROW35166,4645,instructions,0,4647,0,P1166,STUDY0008,SESS1299,0,,,
ROW35167,5300,html-button-response,3,32021,0,P1166,STUDY0008,SESS1299,0,0,lavender_instruction,
ROW35168,7787,html-button-response,4,39809,0,P1166,STUDY0008,SESS1299,0,0,category_section_intro,
ROW35169,14326,html-button-response,2,26720,0,P1166,STUDY0008,SESS1299,0,0,vocabulary_classification_criteria,
ROW35170,5274,html-button-response,6,52895,0,P1166,STUDY0008,SESS1299,0,0,category_section_intro,
ROW35171,3508,survey-multi-select,7,56404,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape""]}",category_organization_semblocked,bell
ROW35172,5297,survey-multi-select,10,72231,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape""]}",category_organization_semblocked,bug
ROW35173,4099,html-button-response,9,66931,0,P1166,STUDY0008,SESS1299,0,0,category_section_intro,
ROW35174,6425,survey-multi-select,8,62831,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape""]}",category_organization_semblocked,trumpet
ROW35175,3120,survey-multi-select,11,75353,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape""]}",category_organization_semblocked,bug
ROW35176,3456,survey-multi-select,12,78810,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape""]}",category_organization_semblocked,bull
ROW35177,1665,html-button-response,14,83346,0,P1166,STUDY0008,SESS1299,0,0,category_section_intro,
ROW35178,2868,survey-multi-select,13,81680,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape""]}",category_organization_semblocked,sheep
ROW35179,4842,survey-multi-select,15,88190,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""material""]}",category_organization_semblocked,bread
ROW35180,9667,survey-multi-select,16,97859,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""color"",""material""]}",category_organization_semblocked,kimchi
ROW35181,4541,survey-multi-select,17,102402,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape"",""color"",""material""]}",category_organization_semblocked,meatball
ROW35182,1298,html-button-response,18,103701,0,P1166,STUDY0008,SESS1299,0,0,category_section_intro,
ROW35183,3343,survey-multi-select,23,119935,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape"",""color"",""material""]}",category_organization_semblocked,tissue
ROW35184,3508,survey-multi-select,20,111156,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,dish
ROW35185,2280,survey-multi-select,21,113438,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape""]}",category_organization_semblocked,keys
ROW35186,3944,survey-multi-select,19,107646,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,blanket
ROW35187,3151,survey-multi-select,22,116590,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,matches
ROW35188,1354,html-button-response,24,121289,0,P1166,STUDY0008,SESS1299,0,0,category_section_intro,
ROW35189,2804,survey-multi-select,25,124095,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape"",""color""]}",category_organization_semblocked,mountain
ROW35190,3355,survey-multi-select,26,127452,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""color""]}",category_organization_semblocked,sky
ROW35191,4944,survey-multi-select,28,133754,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""color""]}",category_organization_semblocked,party
ROW35192,1356,html-button-response,27,128808,0,P1166,STUDY0008,SESS1299,0,0,category_section_intro,
ROW35193,5229,survey-multi-select,29,138985,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""shape"",""material""]}",category_organization_semblocked,suit
ROW35194,2894,survey-multi-select,30,141881,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""none of these""]}",category_organization_semblocked,time
ROW35195,2169,survey-multi-select,31,144052,0,P1166,STUDY0008,SESS1299,0,"{""Q0"":[""none of these""]}",category_organization_semblocked,lavender
ROW35196,2141,instructions,33,147734,0,P1166,STUDY0008,SESS1299,0,,,
ROW35197,1540,html-button-response,32,145593,0,P1166,STUDY0008,SESS1299,0,0,,
ROW35198,5538,instructions,0,5547,0,P1695,STUDY0008,SESS1297,0,,,
ROW35199,4536,html-button-response,1,10086,0,P1695,STUDY0008,SESS1297,0,0,precautions_survey,
ROW35200,10466,html-button-response,2,20555,0,P1695,STUDY0008,SESS1297,0,0,vocabulary_classification_criteria,
ROW35201,4217,html-button-response,3,24781,0,P1695,STUDY0008,SESS1297,0,0,lavender_instruction,
